Name,Version Count
hvega,13
hw-balancedparens,20
hw-bits,39
hw-conduit,12
hw-conduit-merges,1
hw-diagnostics,6
hw-dsv,13
hweblib,9
hw-eliasfano,5
hw-excess,11
hw-fingertree,6
hw-fingertree-strict,8
hw-hedgehog,6
hw-hspec-hedgehog,10
hw-int,3
hw-ip,28
hw-json,32
hw-json-simd,5
hw-mquery,7
hw-packed-vector,6
hw-parser,7
hw-prim,84
hw-rankselect,35
hw-rankselect-base,14
hw-simd,11
hw-streams,12
hw-string-parse,4
hw-succinct,14
hxt,47
hxt-charproperties,7
hxt-css,4
hxt-curl,4
hxt-expat,2
hxt-http,9
hxt-regex-xmlschema,8
hxt-tagsoup,7
hxt-unicode,6
hybrid-vectors,6
hyper,4
hyperloglog,20
hyphenation,22
hyraxAbif,11
iconv,7
identicon,4
ieee754,9
if,1
iff,6
ihaskell,41
ihs,4
ilist,5
imagesize-conduit,12
Imlib,3
immortal,5
include-file,5
incremental-parser,25
indentation-core,3
indentation-parsec,3
indents,11
indexed,4
indexed-list-literals,7
infer-license,2
inflections,19
influxdb,63
ini,16
inj,1
inline-c,38
inline-c-cpp,16
inline-r,16
inliterate,1
insert-ordered-containers,6
inspection-testing,15
instance-control,4
int-cast,4
integer-gmp,5
integer-logarithms,6
integration,5
intern,21
interpolate,8
interpolatedstring-perl6,12
interpolatedstring-qq2,1
interpolation,7
interpolator,4
IntervalMap,24
intervals,28
intro,29
intset-imperative,1
invariant,16
invertible,9
invertible-grammar,3
io-choice,8
io-machine,2
io-manager,3
io-memoize,3
io-region,2
io-storage,1
io-streams,41
io-streams-haproxy,4
ip,36
ip6addr,19
iproute,31
IPv6Addr,23
ipynb,1
ipython-kernel,19
irc,14
irc-client,32
irc-conduit,20
irc-ctcp,5
islink,1
iso3166-country-codes,10
iso639,4
iso8601-time,6
iterable,3
ixset-typed,11
ix-shapable,1
jack,14
jailbreak-cabal,9
jose,29
jose-jwt,22
js-dgtable,1
js-flot,1
js-jquery,13
json,15
json-alt,1
json-autotype,51
json-feed,14
jsonpath,4
json-rpc,32
json-rpc-client,10
json-rpc-generic,11
json-rpc-server,14
JuicyPixels,62
JuicyPixels-extra,8
JuicyPixels-scale-dct,5
justified-containers,7
jwt,21
kan-extensions,53
kanji,12
katip,33
kawhi,7
kazura-queue,5
kdt,6
keycode,5
keys,37
kind-apply,5
kind-generics,6
kind-generics-th,4
kleene,2
kmeans,4
koofr-client,6
kraken,4
l10n,3
labels,9
lackey,27
lambdabot-core,8
lambdabot-irc-plugins,7
LambdaHack,37
lame,3
language-c,22
language-c-quote,52
language-docker,19
language-ecmascript,23
language-haskell-extract,6
language-java,11
language-javascript,62
