﻿Name,Url,Version Count
courier,https://hackage.haskell.org/package/courier,21
cpio-conduit,https://hackage.haskell.org/package/cpio-conduit,1
cpphs,https://hackage.haskell.org/package/cpphs,43
cprng-aes,https://hackage.haskell.org/package/cprng-aes,18
cpu,https://hackage.haskell.org/package/cpu,3
cpuinfo,https://hackage.haskell.org/package/cpuinfo,2
cql,https://hackage.haskell.org/package/cql,12
cql-io,https://hackage.haskell.org/package/cql-io,21
crackNum,https://hackage.haskell.org/package/crackNum,15
crc32c,https://hackage.haskell.org/package/crc32c,1
credential-store,https://hackage.haskell.org/package/credential-store,3
criterion,https://hackage.haskell.org/package/criterion,57
criterion-measurement,https://hackage.haskell.org/package/criterion-measurement,3
cron,https://hackage.haskell.org/package/cron,22
crypto-api,https://hackage.haskell.org/package/crypto-api,40
crypto-api-tests,https://hackage.haskell.org/package/crypto-api-tests,3
cryptocipher,https://hackage.haskell.org/package/cryptocipher,31
crypto-cipher-tests,https://hackage.haskell.org/package/crypto-cipher-tests,11
crypto-cipher-types,https://hackage.haskell.org/package/crypto-cipher-types,9
cryptocompare,https://hackage.haskell.org/package/cryptocompare,5
crypto-enigma,https://hackage.haskell.org/package/crypto-enigma,28
cryptohash,https://hackage.haskell.org/package/cryptohash,39
cryptohash-cryptoapi,https://hackage.haskell.org/package/cryptohash-cryptoapi,5
cryptohash-md5,https://hackage.haskell.org/package/cryptohash-md5,4
cryptohash-sha1,https://hackage.haskell.org/package/cryptohash-sha1,4
cryptohash-sha256,https://hackage.haskell.org/package/cryptohash-sha256,5
cryptohash-sha512,https://hackage.haskell.org/package/cryptohash-sha512,1
cryptonite,https://hackage.haskell.org/package/cryptonite,27
cryptonite-conduit,https://hackage.haskell.org/package/cryptonite-conduit,4
cryptonite-openssl,https://hackage.haskell.org/package/cryptonite-openssl,7
crypto-numbers,https://hackage.haskell.org/package/crypto-numbers,12
crypto-pubkey,https://hackage.haskell.org/package/crypto-pubkey,14
crypto-pubkey-openssh,https://hackage.haskell.org/package/crypto-pubkey-openssh,10
crypto-pubkey-types,https://hackage.haskell.org/package/crypto-pubkey-types,13
crypto-random,https://hackage.haskell.org/package/crypto-random,9
crypto-random-api,https://hackage.haskell.org/package/crypto-random-api,2
crypt-sha512,https://hackage.haskell.org/package/crypt-sha512,1
csp,https://hackage.haskell.org/package/csp,4
css-syntax,https://hackage.haskell.org/package/css-syntax,8
css-text,https://hackage.haskell.org/package/css-text,9
csv,https://hackage.haskell.org/package/csv,3
ctrie,https://hackage.haskell.org/package/ctrie,6
cubicbezier,https://hackage.haskell.org/package/cubicbezier,13
cubicspline,https://hackage.haskell.org/package/cubicspline,3
cublas,https://hackage.haskell.org/package/cublas,9
cuckoo-filter,https://hackage.haskell.org/package/cuckoo-filter,5
cuda,https://hackage.haskell.org/package/cuda,39
cue-sheet,https://hackage.haskell.org/package/cue-sheet,6
cufft,https://hackage.haskell.org/package/cufft,12
curl,https://hackage.haskell.org/package/curl,11
currencies,https://hackage.haskell.org/package/currencies,5
currency,https://hackage.haskell.org/package/currency,2
cusparse,https://hackage.haskell.org/package/cusparse,3
cutter,https://hackage.haskell.org/package/cutter,1
cyclotomic,https://hackage.haskell.org/package/cyclotomic,14
czipwith,https://hackage.haskell.org/package/czipwith,4
data-accessor,https://hackage.haskell.org/package/data-accessor,26
data-accessor-mtl,https://hackage.haskell.org/package/data-accessor-mtl,5
data-accessor-template,https://hackage.haskell.org/package/data-accessor-template,22
data-accessor-transformers,https://hackage.haskell.org/package/data-accessor-transformers,9
data-binary-ieee754,https://hackage.haskell.org/package/data-binary-ieee754,8
data-bword,https://hackage.haskell.org/package/data-bword,2
data-checked,https://hackage.haskell.org/package/data-checked,3
data-clist,https://hackage.haskell.org/package/data-clist,17
data-default,https://hackage.haskell.org/package/data-default,12
data-default-class,https://hackage.haskell.org/package/data-default-class,4
data-default-instances-containers,https://hackage.haskell.org/package/data-default-instances-containers,1
data-default-instances-dlist,https://hackage.haskell.org/package/data-default-instances-dlist,1
data-default-instances-old-locale,https://hackage.haskell.org/package/data-default-instances-old-locale,1
data-diverse,https://hackage.haskell.org/package/data-diverse,35
data-diverse-lens,https://hackage.haskell.org/package/data-diverse-lens,24
datadog,https://hackage.haskell.org/package/datadog,6
data-dword,https://hackage.haskell.org/package/data-dword,9
data-endian,https://hackage.haskell.org/package/data-endian,3
data-fix,https://hackage.haskell.org/package/data-fix,7
data-has,https://hackage.haskell.org/package/data-has,4
data-inttrie,https://hackage.haskell.org/package/data-inttrie,12
data-lens-light,https://hackage.haskell.org/package/data-lens-light,7
data-memocombinators,https://hackage.haskell.org/package/data-memocombinators,11
data-msgpack,https://hackage.haskell.org/package/data-msgpack,12
data-msgpack-types,https://hackage.haskell.org/package/data-msgpack-types,3
data-or,https://hackage.haskell.org/package/data-or,3
data-ordlist,https://hackage.haskell.org/package/data-ordlist,13
data-ref,https://hackage.haskell.org/package/data-ref,6
data-reify,https://hackage.haskell.org/package/data-reify,7
data-serializer,https://hackage.haskell.org/package/data-serializer,7
datasets,https://hackage.haskell.org/package/datasets,13
data-textual,https://hackage.haskell.org/package/data-textual,6
data-tree-print,https://hackage.haskell.org/package/data-tree-print,3
dataurl,https://hackage.haskell.org/package/dataurl,1
DAV,https://hackage.haskell.org/package/DAV,30
dbcleaner,https://hackage.haskell.org/package/dbcleaner,4
DBFunctor,https://hackage.haskell.org/package/DBFunctor,3
dbus,https://hackage.haskell.org/package/dbus,34
debian-build,https://hackage.haskell.org/package/debian-build,29
debug,https://hackage.haskell.org/package/debug,5
debug-trace-var,https://hackage.haskell.org/package/debug-trace-var,2
dec,https://hackage.haskell.org/package/dec,1
decidable,https://hackage.haskell.org/package/decidable,11
Decimal,https://hackage.haskell.org/package/Decimal,9
declarative,https://hackage.haskell.org/package/declarative,11
deepseq,https://hackage.haskell.org/package/deepseq,16
deepseq-generics,https://hackage.haskell.org/package/deepseq-generics,5
deferred-folds,https://hackage.haskell.org/package/deferred-folds,45
dejafu,https://hackage.haskell.org/package/dejafu,69
dense-linear-algebra,https://hackage.haskell.org/package/dense-linear-algebra,1
dependent-map,https://hackage.haskell.org/package/dependent-map,11
dependent-sum,https://hackage.haskell.org/package/dependent-sum,15
dependent-sum-template,https://hackage.haskell.org/package/dependent-sum-template,6
deque,https://hackage.haskell.org/package/deque,21
deriveJsonNoPrefix,https://hackage.haskell.org/package/deriveJsonNoPrefix,2
deriving-compat,https://hackage.haskell.org/package/deriving-compat,25
derulo,https://hackage.haskell.org/package/derulo,11
detour-via-sci,https://hackage.haskell.org/package/detour-via-sci,1
dhall,https://hackage.haskell.org/package/dhall,47
dhall-bash,https://hackage.haskell.org/package/dhall-bash,28
dhall-json,https://hackage.haskell.org/package/dhall-json,31
diagrams,https://hackage.haskell.org/package/diagrams,25
diagrams-contrib,https://hackage.haskell.org/package/diagrams-contrib,47
diagrams-core,https://hackage.haskell.org/package/diagrams-core,39
diagrams-lib,https://hackage.haskell.org/package/diagrams-lib,60
diagrams-postscript,https://hackage.haskell.org/package/diagrams-postscript,33
diagrams-rasterific,https://hackage.haskell.org/package/diagrams-rasterific,24
diagrams-solve,https://hackage.haskell.org/package/diagrams-solve,3
diagrams-svg,https://hackage.haskell.org/package/diagrams-svg,48
